

   TLevel      Time           dt       Iter    ItCum

      1  0.11111111E-01  0.111111E-01    5       25
      2  0.22222223E-01  0.111111E-01    4       29
      3  0.33333334E-01  0.111111E-01    4       33
      4  0.44444446E-01  0.111111E-01    4       37
      5  0.55555557E-01  0.111111E-01    4       41
      6  0.66666668E-01  0.111111E-01    3       44
      7  0.81111113E-01  0.144444E-01    4       48
      8  0.95555557E-01  0.144444E-01    3       51
      9  0.11433333E+00  0.187778E-01    6       57
     10  0.13311111E+00  0.187778E-01    5       62
     11  0.15188889E+00  0.187778E-01    5       67
     12  0.17066666E+00  0.187778E-01    5       72
     13  0.18944444E+00  0.187778E-01    6       78
     14  0.20822222E+00  0.187778E-01    5       83
     15  0.22699999E+00  0.187778E-01    5       88
     16  0.24577777E+00  0.187778E-01    5       93
     17  0.26455555E+00  0.187778E-01    5       98
     18  0.28333332E+00  0.187778E-01    5      103
     19  0.30211110E+00  0.187778E-01    6      109
     20  0.32088888E+00  0.187778E-01    5      114
     21  0.33966665E+00  0.187778E-01    4      118
     22  0.35844443E+00  0.187778E-01    5      123
     23  0.37722220E+00  0.187778E-01    5      128
     24  0.39599998E+00  0.187778E-01    5      133
     25  0.41477776E+00  0.187778E-01    5      138
     26  0.43355553E+00  0.187778E-01    5      143
     27  0.45233331E+00  0.187778E-01    5      148
     28  0.47111109E+00  0.187778E-01    5      153
     29  0.48988886E+00  0.187778E-01    6      159
     30  0.50866664E+00  0.187778E-01    5      164
     31  0.52744442E+00  0.187778E-01    7      171
     32  0.54058886E+00  0.131444E-01    5      176
     33  0.55373330E+00  0.131444E-01    8      184
     34  0.56373330E+00  0.100000E-01    5      189
     35  0.57373330E+00  0.100000E-01    5      194
     36  0.58373330E+00  0.100000E-01    5      199
     37  0.59373330E+00  0.100000E-01    5      204
     38  0.60373330E+00  0.100000E-01    5      209
     39  0.61373330E+00  0.100000E-01    5      214
     40  0.62373330E+00  0.100000E-01    5      219
     41  0.63373330E+00  0.100000E-01    5      224
     42  0.64373330E+00  0.100000E-01    5      229
     43  0.65373330E+00  0.100000E-01    5      234
     44  0.66373330E+00  0.100000E-01    6      240
     45  0.67373330E+00  0.100000E-01    5      245
     46  0.68373330E+00  0.100000E-01    5      250
     47  0.69373330E+00  0.100000E-01    5      255
     48  0.70373330E+00  0.100000E-01    4      259
     49  0.71373330E+00  0.100000E-01    4      263
     50  0.72373330E+00  0.100000E-01    4      267
     51  0.73373330E+00  0.100000E-01    4      271
     52  0.74373330E+00  0.100000E-01    4      275
     53  0.75373330E+00  0.100000E-01    5      280
     54  0.76373330E+00  0.100000E-01    5      285
     55  0.77373330E+00  0.100000E-01    5      290
     56  0.78373330E+00  0.100000E-01    6      296
     57  0.79373330E+00  0.100000E-01    5      301
     58  0.80373330E+00  0.100000E-01    4      305
     59  0.81373330E+00  0.100000E-01    4      309
     60  0.82373330E+00  0.100000E-01    4      313
     61  0.83373330E+00  0.100000E-01    5      318
     62  0.84373330E+00  0.100000E-01    5      323
     63  0.85373330E+00  0.100000E-01    4      327
     64  0.86373330E+00  0.100000E-01    4      331
     65  0.87373330E+00  0.100000E-01    4      335
     66  0.88373330E+00  0.100000E-01    4      339
     67  0.89373330E+00  0.100000E-01    4      343
     68  0.90373330E+00  0.100000E-01    4      347
     69  0.91373330E+00  0.100000E-01    4      351
     70  0.92373330E+00  0.100000E-01    4      355
     71  0.93373330E+00  0.100000E-01    4      359
     72  0.94373330E+00  0.100000E-01    5      364
     73  0.95373330E+00  0.100000E-01    5      369
     74  0.96373329E+00  0.100000E-01    5      374
     75  0.97373329E+00  0.100000E-01    7      381
     76  0.98373329E+00  0.100000E-01    5      386
     77  0.99373329E+00  0.100000E-01    6      392
     78  0.10037333E+01  0.100000E-01    4      396
     79  0.10137333E+01  0.100000E-01    4      400
     80  0.10237333E+01  0.100000E-01    5      405
     81  0.10337333E+01  0.100000E-01    5      410
     82  0.10437333E+01  0.100000E-01    5      415
     83  0.10537333E+01  0.100000E-01    6      421
     84  0.10637333E+01  0.100000E-01    4      425
     85  0.10737333E+01  0.100000E-01    4      429
     86  0.10837333E+01  0.100000E-01    4      433
     87  0.10937333E+01  0.100000E-01    4      437
     88  0.11037333E+01  0.100000E-01    4      441
     89  0.11137333E+01  0.100000E-01    5      446
     90  0.11237333E+01  0.100000E-01    5      451
     91  0.11337333E+01  0.100000E-01    6      457
     92  0.11437333E+01  0.100000E-01    4      461
     93  0.11537333E+01  0.100000E-01    4      465
     94  0.11637333E+01  0.100000E-01    4      469
     95  0.11737333E+01  0.100000E-01    4      473
     96  0.11837333E+01  0.100000E-01    4      477
     97  0.11937333E+01  0.100000E-01    4      481
     98  0.12037333E+01  0.100000E-01    4      485
     99  0.12137333E+01  0.100000E-01    4      489
    100  0.12237333E+01  0.100000E-01    4      493
    101  0.12337333E+01  0.100000E-01    4      497
    102  0.12437333E+01  0.100000E-01    4      501
    103  0.12537333E+01  0.100000E-01    4      505
    104  0.12637333E+01  0.100000E-01    4      509
    105  0.12737333E+01  0.100000E-01    4      513
