 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

        0.0111        0.0        0.0        0.0     -274.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.0222        0.0        0.0        0.0     -182.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.0333        0.0        0.0        0.0     -129.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.0444        0.0        0.0        0.0      -96.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.0556        0.0        0.0        0.0      -73.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.0667        0.0        0.0        0.0      -55.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.0811        0.0        0.0        0.0      -39.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.0999        0.0        0.0        0.0      227.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.1187        0.0        0.0        0.0     1380.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.1374        0.0        0.0        0.0     1790.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.1562        0.0        0.0        0.0     2253.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.1750        0.0        0.0        0.0     2516.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.1938        0.0        0.0        0.0     3552.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.2126        0.0        0.0        0.0     3659.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.2313        0.0        0.0        0.0     3655.3        0.0        0.0        0.0        0.0        0.0        0.0
        0.2501        0.0        0.0        0.0     3583.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.2689        0.0        0.0        0.0     3580.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.2877        0.0        0.0        0.0     3654.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.3064        0.0        0.0        0.0     3533.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.3252        0.0        0.0        0.0     3789.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.3440        0.0        0.0        0.0     3758.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.3628        0.0        0.0        0.0     3679.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.3816        0.0        0.0        0.0     3456.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.4003        0.0        0.0        0.0     3546.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.4191        0.0        0.0        0.0     3315.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.4323        0.0        0.0        0.0     3413.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.4454        0.0        0.0        0.0     3620.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.4585        0.0        0.0        0.0     3571.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.4685        0.0        0.0        0.0     3599.4        0.0        0.0        0.0        0.0        0.0        0.0
        0.4785        0.0        0.0        0.0     3664.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.4885        0.0        0.0        0.0     3659.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.4985        0.0        0.0        0.0     3645.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.5085        0.0        0.0        0.0     3618.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.5185        0.0        0.0        0.0     3494.3        0.0        0.0        0.0        0.0        0.0        0.0
        0.5285        0.0        0.0        0.0     3626.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.5385        0.0        0.0        0.0     3588.3        0.0        0.0        0.0        0.0        0.0        0.0
        0.5485        0.0        0.0        0.0     3587.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.5585        0.0        0.0        0.0     3668.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.5685        0.0        0.0        0.0     3667.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.5785        0.0        0.0        0.0     3664.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.5885        0.0        0.0        0.0     3657.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.5985        0.0        0.0        0.0     3646.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.6085        0.0        0.0        0.0     3626.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.6185        0.0        0.0        0.0     3590.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.6285        0.0        0.0        0.0     3595.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.6385        0.0        0.0        0.0     3603.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.6485        0.0        0.0        0.0     3541.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.6585        0.0        0.0        0.0     3440.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.6685        0.0        0.0        0.0     3599.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.6785        0.0        0.0        0.0     3616.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.6885        0.0        0.0        0.0     3608.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.6985        0.0        0.0        0.0     3598.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.7085        0.0        0.0        0.0     3580.4        0.0        0.0        0.0        0.0        0.0        0.0
        0.7185        0.0        0.0        0.0     3552.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.7285        0.0        0.0        0.0     3449.8        0.0        0.0        0.0        0.0        0.0        0.0
        0.7385        0.0        0.0        0.0     3525.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.7485        0.0        0.0        0.0     3514.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.7585        0.0        0.0        0.0     3501.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.7685        0.0        0.0        0.0     3484.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.7785        0.0        0.0        0.0     3460.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.7885        0.0        0.0        0.0     3426.4        0.0        0.0        0.0        0.0        0.0        0.0
        0.7985        0.0        0.0        0.0     3373.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.8085        0.0        0.0        0.0     3317.5        0.0        0.0        0.0        0.0        0.0        0.0
        0.8185        0.0        0.0        0.0     3308.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.8285        0.0        0.0        0.0     3178.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.8385        0.0        0.0        0.0     3345.6        0.0        0.0        0.0        0.0        0.0        0.0
        0.8485        0.0        0.0        0.0     3341.1        0.0        0.0        0.0        0.0        0.0        0.0
        0.8585        0.0        0.0        0.0     3399.2        0.0        0.0        0.0        0.0        0.0        0.0
        0.8685        0.0        0.0        0.0     3433.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.8785        0.0        0.0        0.0     3415.4        0.0        0.0        0.0        0.0        0.0        0.0
        0.8885        0.0        0.0        0.0     3388.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.8985        0.0        0.0        0.0     3345.9        0.0        0.0        0.0        0.0        0.0        0.0
        0.9085        0.0        0.0        0.0     3290.0        0.0        0.0        0.0        0.0        0.0        0.0
        0.9185        0.0        0.0        0.0     3550.7        0.0        0.0        0.0        0.0        0.0        0.0
        0.9285        0.0        0.0        0.0     3613.0        0.0        0.0        0.0        0.0        0.0        0.0
